epoch,train_loss,val_loss,data_loss,phys_loss,mag_loss
1,2.737812,0.9506989674908775,1.943417,0.142333,0.967527
2,0.758129,0.5899367843355451,0.381544,0.119333,0.443963
3,0.608288,0.5029715725353786,0.281826,0.105935,0.381356
4,0.465587,0.41136148997715544,0.196282,0.103858,0.309279
5,0.435863,0.41996194209371296,0.173491,0.103015,0.300263
6,0.365764,0.32974827928202494,0.136575,0.103327,0.258303
7,0.343194,0.30509017514331,0.122421,0.103421,0.247477
8,0.333460,0.3237293969307627,0.115280,0.103591,0.244041
9,0.303424,0.2661087928073747,0.100218,0.104281,0.225044
10,0.427147,0.2853096074291638,0.181252,0.100698,0.279305
11,0.282872,0.26816837755697115,0.090728,0.104330,0.211036
12,0.261794,0.2431171823825155,0.080248,0.104768,0.197557
13,0.260013,0.24608335750443594,0.078187,0.105173,0.197771
14,0.247151,0.22693367462073052,0.072009,0.105777,0.189250
15,0.238037,0.2545787441943373,0.067252,0.106182,0.183683
16,0.227275,0.20786230638623238,0.062713,0.106274,0.175813
17,0.230903,0.2517570337014539,0.063184,0.106412,0.179714
18,0.217020,0.2188064887055329,0.057415,0.106816,0.169441
19,0.243013,0.2039180142538888,0.069198,0.106683,0.187248
20,0.206184,0.212127009672778,0.052557,0.107297,0.161850
21,0.205279,0.18557190309677804,0.051463,0.107386,0.162035
22,0.200524,0.2512666609670435,0.049683,0.107570,0.158252
23,0.190315,0.22226362994738988,0.045906,0.107927,0.150112
24,0.195515,0.18739085591265134,0.047485,0.107842,0.154631
25,0.189301,0.17227410258991377,0.044729,0.107979,0.150246
26,0.185926,0.18021494522690773,0.043361,0.108167,0.147685
27,0.206926,0.1742747165262699,0.054785,0.107406,0.159798
28,0.175916,0.17411430552601814,0.039225,0.108034,0.140289
29,0.244505,0.1727475013051714,0.078230,0.106628,0.177593
30,0.176610,0.15931724331208638,0.039725,0.108247,0.140435
31,0.174025,0.1554336574460779,0.038613,0.108355,0.138566
32,0.165847,0.16436339861580304,0.035740,0.108547,0.131873
33,0.166610,0.1853949874639511,0.035465,0.108641,0.133138
34,0.172641,0.24197055399417877,0.037379,0.108668,0.138294
35,0.166145,0.16088172899825232,0.035755,0.108569,0.132184
36,0.159778,0.16320873690502985,0.033051,0.108857,0.127536
37,0.165550,0.23754730182034628,0.034548,0.108851,0.132872
38,0.156982,0.14359676358955248,0.031847,0.108920,0.125511
39,0.163587,0.14634303748607635,0.034232,0.108979,0.130778
40,0.155081,0.1396515385380813,0.031089,0.109133,0.124015
41,0.151619,0.19517450300710543,0.029867,0.109245,0.121194
42,0.157603,0.1519138781087739,0.031868,0.109167,0.126179
43,0.146348,0.14558887960655348,0.028068,0.109429,0.116798
44,0.162954,0.15945976387177194,0.032911,0.109250,0.131544
45,0.141819,0.13602684917194502,0.026642,0.109455,0.112886
46,0.142713,0.14398598777396338,0.026790,0.109503,0.113799
47,0.154053,0.1507383334849562,0.030325,0.109428,0.123581
48,0.141211,0.13046493407871043,0.026126,0.109640,0.112722
49,0.130913,0.12672212240951403,0.023308,0.109848,0.103309
50,0.129853,0.12768893795354025,0.022960,0.109723,0.102425
51,0.157869,0.13764650055340358,0.033731,0.109663,0.124036
52,0.129381,0.12608573426093375,0.022739,0.109901,0.102109
53,0.128834,0.12549344636499882,0.022466,0.109716,0.101763
54,0.128130,0.12658992063786303,0.022228,0.109710,0.101171
55,0.131092,0.12854593433439732,0.022763,0.109809,0.104197
56,0.127476,0.1263059406940426,0.021838,0.109815,0.100806
57,0.127629,0.1240698155015707,0.021809,0.109801,0.101031
58,0.128723,0.12529414014092513,0.022123,0.109911,0.101999
59,0.127618,0.1324589377535241,0.021626,0.109960,0.101220
60,0.125316,0.12332176922687463,0.021034,0.109932,0.099074
61,0.125792,0.12372031116059848,0.021075,0.109988,0.099604
62,0.123146,0.12331139189856392,0.020399,0.110056,0.097129
63,0.125187,0.13741116944168294,0.020806,0.110050,0.099171
64,0.123466,0.12180968586887632,0.020456,0.110033,0.097452
65,0.123419,0.11851074972323009,0.020312,0.110140,0.097558
66,0.122456,0.12341058600161757,0.019969,0.110134,0.096779
67,0.123179,0.1179281369383846,0.020145,0.110236,0.097439
68,0.122046,0.11539044257785593,0.019890,0.110124,0.096353
69,0.122356,0.11542210727930069,0.019818,0.110192,0.096823
70,0.119223,0.11539729125797749,0.019108,0.110175,0.093783
71,0.115867,0.11328579272542681,0.018272,0.110151,0.090628
72,0.115544,0.1132981324834483,0.018165,0.110224,0.090346
